Ferrovia;Ano;Linha;Perfil Trilho_Perfil;Perfil Trilho_Faixa km;Fixação_Tipo;Fixação_Faixa km;Dormente_Tipo;Dormente_Faixa km;Taxa de Dormentação_Taxa (dorm/km);Taxa de Dormentação_Faixa km;Gabarito Horizontal_Gabarito (m);Gabarito Horizontal_Faixa km;Gabarito Vertical_Gabarito (m);Gabarito Vertical_Faixa km;VMA Trem Carregado_VMA (km/h);VMA Trem Carregado_Faixa km;VMA Trem Vazio_VMA (km/h);VMA Trem Vazio_Faixa km;VMA Produto Perigoso_VMA (km/h);VMA Produto Perigoso_Faixa km;VMC Trem Carregado_VMC (km/h);VMC Trem Carregado_Faixa km;VMC Trem Vazio_VMC (km/h);VMC Trem Vazio_Faixa km;VMC Produto Perigoso_VMC (km/h);VMC Produto Perigoso_Faixa km;Carga Máx. por Eixo_Carga (t);Carga Máx. por Eixo_Faixa km
MRS;2025.0;Posto km 64 - 452 (Linha do Centro);;;;;;;;;0.0;;0.0;;40.0;96,850 à 106,171;50.0;96,850 à 106,171;;;;;;;;;;
MRS;2025.0;Posto km 64 - 452 (Linha do Centro);;;;;;;;;0.0;;0.0;;30.0;106,171 à 108,200;30.0;106,171 à 108,200;;;;;;;;;;
MRS;2025.0;Posto km 64 - 452 (Linha do Centro);;;;;;;;;0.0;;0.0;;25.0;108,200 à 108,620;25.0;108,200 à 108,620;;;;;;;;;;
MRS;2025.0;Posto km 64 - 452 (Linha do Centro);;;;;;;;;0.0;;0.0;;30.0;108,620 à 110,190;30.0;108,620 à 110,190;;;;;;;;;;
MRS;2025.0;Posto km 64 - 452 (Linha do Centro);;;;;;;;;0.0;;0.0;;40.0;110,190 à 111,750;40.0;110,190 à 111,750;;;;;;;;;;
MRS;2025.0;Posto km 64 - 452 (Linha do Centro);;;;;;;;;0.0;;0.0;;50.0;111,750 à 262,900;64.0;111,750 à 262,900;;;;;;;;;;
MRS;2025.0;Posto km 64 - 452 (Linha do Centro);;;;;;;;;0.0;;0.0;;50.0;262,900 à 263,300;50.0;262,900 à 263,300;;;;;;;;;;
MRS;2025.0;Posto km 64 - 452 (Linha do Centro);;;;;;;;;0.0;;0.0;;50.0;263,300 à 452,000;64.0;263,300 à 452,000;;;;;;;;;;
MRS;2025.0;Ligação à Arará;;;;;;;;;0.0;;0.0;;40.0;4,000 à 64,000;40.0;4,000 à 64,000;;;;;;;;;;
MRS;2025.0;Ramal de Mangaratiba;;;;;;;;;0.0;;0.0;;30.0;0,300 à 1,500;15.0;0,300 à 1,500;30.0;1,500 à 16,990;;;;;;;;
MRS;2025.0;Ramal de Mangaratiba;;;;;;;;;0.0;;0.0;;30.0;1,500 à 16,990;30.0;1,500 à 16,990;40.0;16,990 à 37,139;;;;;;;;
MRS;2025.0;Ramal de Mangaratiba;;;;;;;;;0.0;;0.0;;40.0;16,990 à 37,000;40.0;16,990 à 37,000;30.0;37,139 à 39,378;;;;;;;;
MRS;2025.0;Ramal de Mangaratiba;;;;;;;;;0.0;;0.0;;50.0;37,000 à 60,000;50.0;37,000 à 60,000;40.0;39,378 à 60,452;;;;;;;;
MRS;2025.0;Ramal de Mangaratiba;;;;;;;;;0.0;;0.0;;50.0;60,000 à 60,452;50.0;60,000 à 60,452;;;;;;;;;;
MRS;2025.0;Ferrovia do Aço;;;;;;;;;0.0;;0.0;;64.0;150,000 à 154,000;64.0;150,000 à 154,000;;;;;;;;;;
MRS;2025.0;Ferrovia do Aço;;;;;;;;;0.0;;0.0;;64.0;154,000 à 165,000;64.0;154,000 à 165,000;;;;;;;;;;
MRS;2025.0;Ferrovia do Aço;;;;;;;;;0.0;;0.0;;64.0;165,000 à 170,000;64.0;165,000 à 170,000;;;;;;;;;;
MRS;2025.0;Ferrovia do Aço;;;;;;;;;0.0;;0.0;;56.0;170,000 à 175,000;64.0;170,000 à 175,000;;;;;;;;;;
MRS;2025.0;Ferrovia do Aço;;;;;;;;;0.0;;0.0;;64.0;175,000 à 190,000;64.0;175,000 à 190,000;;;;;;;;;;
MRS;2025.0;Ferrovia do Aço;;;;;;;;;0.0;;0.0;;56.0;190,000 à 201,000;64.0;190,000 à 201,000;;;;;;;;;;
MRS;2025.0;Ferrovia do Aço;;;;;;;;;0.0;;0.0;;64.0;201,000 à 205,000;64.0;201,000 à 205,000;;;;;;;;;;
MRS;2025.0;Ferrovia do Aço;;;;;;;;;0.0;;0.0;;64.0;205,000 à 208,000;64.0;205,000 à 208,000;;;;;;;;;;
MRS;2025.0;Ferrovia do Aço;;;;;;;;;0.0;;0.0;;64.0;208,000 à 236,000;64.0;208,000 à 236,000;;;;;;;;;;
MRS;2025.0;Ferrovia do Aço;;;;;;;;;0.0;;0.0;;64.0;236,000 à 279,000;64.0;236,000 à 279,000;;;;;;;;;;
MRS;2025.0;Ferrovia do Aço;;;;;;;;;0.0;;0.0;;64.0;279,000 à 287,000;64.0;279,000 à 287,000;;;;;;;;;;
MRS;2025.0;Ferrovia do Aço;;;;;;;;;0.0;;0.0;;64.0;287,000 à 353,666;64.0;287,000 à 353,666;;;;;;;;;;
MRS;2025.0;Linha de São Paulo;;;;;;;;;0.0;;0.0;;40.0;151,890 à 156,000;40.0;151,890 à 156,000;;;;;;;;;;
MRS;2025.0;Linha de São Paulo;;;;;;;;;0.0;;0.0;;50.0;156,000 à 461,858;50.0;156,000 à 461,858;;;;;;;;;;
MRS;2025.0;Santos - Jundiaí;;;;;;;;;0.0;;0.0;;30.0;18,500 à 22,000;30.0;18,500 à 22,000;30.0;18,500 à 22,000;;;;;;;;
MRS;2025.0;Santos - Jundiaí;;;;;;;;;0.0;;0.0;;30.0;22,000 à 30,312;30.0;22,000 à 30,312;30.0;22,000 à 30,312;;;;;;;;
MRS;2025.0;Santos - Jundiaí;;;;;;;;;0.0;;0.0;;40.0;30,312 à 45,526;50.0;30,312 à 45,526;40.0;30,312 à 139,040;;;;;;;;
MRS;2025.0;Santos - Jundiaí;;;;;;;;;0.0;;0.0;;50.0;45,526 à 139,040;50.0;45,526 à 139,040;;;;;;;;;;
MRS;2025.0;Ramal de Conceiçãozinha;;;;;;;;;0.0;;0.0;;20.0;10,000 à 11,800;25.0;11,800 à 16,360;25.0;11,800 à 16,360;;;;;;;;
MRS;2025.0;Ramal de Conceiçãozinha;;;;;;;;;0.0;;0.0;;25.0;11,800 à 16,360;;;;;;;;;;;;
